2016-11-15_16:00;3;-5;0.0;196.8;1600;0;3;260;0.0;90;5;1033;19;0
2016-11-15_18:00;3;-5;0.0;196.8;1800;-2;3;143;0.0;97;1;1033;15;-2
2016-11-15_21:00;3;-5;0.0;196.8;2100;-4;3;143;0.0;96;2;1033;15;-4
2016-11-15_19:00;3;-5;0.0;196.8;1900;-3;3;143;0.0;97;1;1033;15;-3
2016-11-15_23:00;3;-5;0.0;196.8;2300;-4;3;116;0.0;95;4;1032;21;-4
2016-11-15_20:00;3;-5;0.0;196.8;2000;-3;3;143;0.0;97;2;1033;15;-3
2016-11-15_22:00;3;-5;0.0;196.8;2200;-4;3;143;0.0;96;3;1032;18;-4
2016-11-16_01:00;3;-4;0.0;196.8;0100;-4;2;116;0.0;94;6;1032;33;-4
2016-11-16_02:00;3;-4;0.0;196.8;0200;-4;2;116;0.0;94;8;1032;42;-4
2016-11-16_00:00;3;-4;0.0;196.8;0000;-4;3;116;0.0;95;5;1032;24;-4
2016-11-16_03:00;3;-4;0.0;196.8;0300;-4;2;116;0.0;93;10;1031;51;-4
2016-11-16_04:00;3;-4;0.0;196.8;0400;-4;3;116;0.0;93;10;1031;54;-4
2016-11-16_05:00;3;-4;0.0;196.8;0500;-4;3;116;0.0;92;10;1031;56;-4
2016-11-16_09:00;3;-4;0.0;196.8;0900;-2;4;122;0.0;87;10;1030;71;-2
2016-11-16_06:00;3;-4;0.0;196.8;0600;-4;3;116;0.0;92;10;1031;59;-4
2016-11-16_07:00;3;-4;0.0;196.8;0700;-3;4;116;0.0;90;10;1030;63;-3
2016-11-16_11:00;3;-4;0.0;196.8;1100;0;5;116;0.0;84;10;1028;81;0
2016-11-16_10:00;3;-4;0.0;196.8;1000;-1;5;122;0.0;85;10;1029;76;-1
2016-11-16_08:00;3;-4;0.0;196.8;0800;-3;4;122;0.0;89;10;1030;67;-3
2016-11-16_13:00;3;-4;0.0;196.8;1300;2;5;116;0.0;84;9;1027;78;2
2016-11-16_12:00;3;-4;0.0;196.8;1200;2;5;116;0.0;82;10;1028;85;2
2016-11-16_14:00;3;-4;0.0;196.8;1400;2;5;260;0.0;86;8;1027;70;2
2016-11-16_15:00;3;-4;0.0;196.8;1500;2;5;260;0.0;88;7;1026;62;2
2016-11-16_16:00;3;-4;0.0;196.8;1600;1;5;260;0.0;91;5;1026;64;1
2016-11-16_17:00;3;-4;0.0;196.8;1700;0;4;143;0.0;94;3;1026;66;0
2016-11-16_18:00;3;-4;0.0;196.8;1800;-1;4;143;0.0;97;1;1026;69;-1
2016-11-16_19:00;3;-4;0.0;196.8;1900;-2;4;143;0.0;96;2;1026;64;-2
2016-11-16_20:00;3;-4;0.0;196.8;2000;-3;4;116;0.0;95;3;1025;59;-2
2016-11-16_21:00;3;-4;0.0;196.8;2100;-4;4;116;0.0;94;5;1025;54;-3
2016-11-16_23:00;3;-4;0.0;196.8;2300;-5;4;116;0.0;92;8;1025;45;-3
2016-11-16_22:00;3;-4;0.0;196.8;2200;-4;4;116;0.0;93;6;1025;49;-3
2016-11-17_03:00;4;-2;0.0;196.8;0300;-3;4;119;0.0;92;10;1024;46;-3
2016-11-17_00:00;4;-2;0.0;196.8;0000;-5;4;116;0.0;91;10;1025;40;-4
2016-11-17_02:00;4;-2;0.0;196.8;0200;-4;4;119;0.0;92;10;1024;44;-3
2016-11-17_01:00;4;-2;0.0;196.8;0100;-4;4;116;0.0;91;10;1024;42;-4
